flow_number,source_ip,dest_ip,source_port,dest_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio,self_signed_cert_ratio,Public_key_average,average_validity,Std_dev_cert_validity,Cert_val_during_capture,avg_cert_age,total_certificates,avg_san_dns,Certificate_ssl_ratio,CN_in_SAN_DNS
1,192.168.30.12,23.50.13.214,50000,80,tcp,0.39203691482543945,0.030156685755803034,0.08117014260704891,0.9230769230769231,1596.0,658.0,0.41228070175438597,6,7,0.03789654645052823,0.08644848974490162,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
2,192.168.30.12,8.8.8.8,53778,53,udp,0.03002786636352539,0.015013933181762695,0.015013933181762695,0.0,42.0,112.0,2.6666666666666665,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
3,192.168.30.12,20.49.150.241,49994,443,tcp,125.30917191505432,5.695871450684288,11.859487428890521,0.8181818181818182,1157.0,5455.0,4.714779602420052,10,12,3.0971365571022034,9.019542347964679,0.375,1.0,0,0,0,0,0,0,0,0,0.0,0
4,192.168.30.12,4.245.163.56,49995,443,tcp,1.593189001083374,0.04978715628385544,0.08588516908072573,0.8125,689.0,29981.0,43.51378809869376,11,21,0.06308293342590332,0.08298986567825277,0.23076923076923078,1.0,0,0,0,0,0,0,0,0,0.0,0
5,192.168.30.12,8.8.8.8,62828,53,udp,0.055132150650024414,0.027566075325012207,0.027566075325012207,0.0,49.0,179.0,3.6530612244897958,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
6,192.168.30.12,8.8.8.8,61212,53,udp,0.022248029708862305,0.011124014854431152,0.011124014854431152,0.0,41.0,209.0,5.097560975609756,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
7,192.168.30.12,8.8.8.8,53443,53,udp,0.024325847625732422,0.012162923812866211,0.012162923812866211,0.0,42.0,143.0,3.4047619047619047,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
8,192.168.30.12,45.113.119.128,49996,80,tcp,0.5875070095062256,0.058750700950622556,0.16132766148009753,0.9,245.0,5159.0,21.057142857142857,4,6,0.07582443952560425,0.17645056069468368,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
9,192.168.30.12,192.168.30.255,137,137,udp,20.008091926574707,0.6669363975524902,0.6591524011522119,0.6666666666666666,1824.0,0.0,0.0,0,30,0.37740081548690796,0.7237850776162355,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
10,192.168.30.12,23.50.13.214,49999,80,tcp,0.06374406814575195,0.004903389857365535,0.008754527720997985,0.7692307692307693,1590.0,658.0,0.4138364779874214,6,7,0.007329789074984464,0.009649577240748155,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
11,192.168.30.12,192.168.30.1,49676,445,tcp,9.004706859588623,3.0015689531962075,2.4533394296547337,0.3333333333333333,0.0,0.0,0.0,0,3,0.01884603500366211,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
12,192.168.30.12,192.168.30.255,138,138,udp,166.95053100585938,7.950025285993304,22.575641638379814,0.9047619047619048,764.0,0.0,0.0,0,21,15.482894332785355,31.07463782898422,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
13,192.168.30.12,8.8.8.8,64719,53,udp,0.027949094772338867,0.013974547386169434,0.013974547386169434,0.0,34.0,129.0,3.7941176470588234,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
